City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
481,Coruripe,BR,80.76,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
484,Moron,AR,80.35,clear sky,-34.6534,-58.6198,Hotel Morón
488,Oistins,BB,78.89,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
489,Takoradi,GH,78.71,light rain,4.8845,-1.7554,Raybow International Hotel
490,Catuday,PH,76.82,broken clouds,16.2923,119.8062,Benjie's Kubo & Cottages
499,Namatanai,PG,81.27,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
509,Ilhabela,BR,75.52,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
516,Poso,ID,76.37,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
519,Ranong,TH,76.89,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
523,Mlonggo,ID,75.09,overcast clouds,-6.5333,110.7,Asia Metal Art
525,Suleja,NG,81.9,broken clouds,9.1758,7.1808,Capy Motel
530,Tete,MZ,78.89,few clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
531,Kuala Terengganu,MY,76.95,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
533,Acarau,BR,79.93,clear sky,-2.8856,-40.12,castelo pizzaria
534,Deniliquin,AU,78.01,few clouds,-35.5333,144.9667,Riviana Motel
538,Sibolga,ID,75.09,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
542,San Ramon,US,78.98,clear sky,37.7799,-121.978,San Ramon Marriott
546,Vao,NC,79.74,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
550,Makaha,US,79.99,clear sky,21.4694,-158.2175,Hawaiian Princess Resort
556,Manali,IN,79.07,clear sky,13.1667,80.2667,Sarathy Lodge
557,Makakilo City,US,78.62,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
559,Chimore,BO,78.48,broken clouds,-16.9833,-65.1333,Bichito
560,Auki,SB,77.25,overcast clouds,-8.7676,160.7034,Auki Motel
564,Samarai,PG,81.61,scattered clouds,-10.6167,150.6667,Nuli Sapi
568,Presidencia Roque Saenz Pena,AR,85.37,clear sky,-26.7852,-60.4388,Hotel Gualok
573,Road Town,VG,77.09,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
576,Samana,DO,84.42,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
581,Topolobampo,MX,86.05,overcast clouds,25.6,-109.05,Hotel Marina Topolobampo
597,Hobyo,SO,77.9,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
598,Koumac,NC,80.56,overcast clouds,-20.5667,164.2833,Le Monitel
600,Pasaco,GT,88.18,broken clouds,13.9772,-90.2064,Casa Fina
604,Namibe,AO,75.18,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
606,Sorong,ID,76.75,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
607,Carutapera,BR,76.59,light rain,-1.195,-46.02,Lidera
619,Lorengau,PG,81.57,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
622,Isla Vista,US,88.68,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
626,Jizan,SA,79.74,broken clouds,17.3333,42.6667,شهدان. ابوالحجر
627,Sinnamary,GF,76.77,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
628,Lubao,PH,78.15,overcast clouds,14.9167,120.55,Hacienda Gracia
636,The Valley,AI,76.86,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
641,Barroquinha,BR,80.38,scattered clouds,-3.0189,-41.1361,Pousada barroquinha
642,Tautira,PF,87.82,light rain,-17.7333,-149.15,Pension Oaoa
653,Kieta,PG,80.76,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
654,Ankpa,NG,79.61,broken clouds,7.3706,7.6253,AA Suites
663,Durban,ZA,80.02,overcast clouds,-29.8579,31.0292,Hilton Durban
667,Ankazoabo,MG,75.38,clear sky,-22.2833,44.5167,ENCEIN BUREAU CISCO
670,Kingori,TZ,75.58,broken clouds,-3.2833,36.9833,Rafiki Hostel
673,Paracuru,BR,83.1,scattered clouds,-3.41,-39.0306,Hotel Vento Brasil
675,Kununurra,AU,75.18,clear sky,-15.7667,128.7333,Hotel Kununurra
677,Quibdo,CO,79.14,broken clouds,5.6947,-76.6611,Hotel Angeles
690,Pochutla,MX,88.83,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
691,Labuhan,ID,75.7,overcast clouds,-6.8844,112.2051,DoubleFAG
