City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Salinopolis,BR,-0.6136,-47.3561,78.21,87,100,9.44,overcast clouds
80,Hilo,US,19.7297,-155.09,76.73,80,20,8.05,few clouds
81,Acapulco,MX,16.8634,-99.8901,87.62,62,40,8.05,scattered clouds
82,Bada,RU,51.392,109.8717,-21.15,99,35,2.21,scattered clouds
83,Kampot,KH,10.6167,104.1833,76.62,83,13,3.0,few clouds
84,Yenagoa,NG,4.9247,6.2642,80.33,79,21,4.61,few clouds
85,Mahebourg,MU,-20.4081,57.7,81.25,89,75,11.5,broken clouds
86,Te Anau,NZ,-45.4167,167.7167,57.87,62,38,0.38,scattered clouds
87,Hobart,AU,-42.8794,147.3294,62.46,78,75,11.5,broken clouds
88,Talnakh,RU,69.4865,88.3972,-7.24,69,15,8.88,few clouds
89,Saint-Augustin,CA,51.226,-58.6502,-11.25,91,1,7.11,clear sky
90,Sao Filipe,CV,14.8961,-24.4956,74.35,64,55,11.45,broken clouds
91,Lagoa,PT,39.05,-27.9833,56.57,59,85,4.94,overcast clouds
92,Busselton,AU,-33.65,115.3333,63.05,77,0,11.72,clear sky
93,Cayenne,GF,4.9333,-52.3333,80.1,85,75,5.01,broken clouds
94,Russell,US,32.3502,-85.1999,53.2,22,0,21.85,clear sky
95,Karratha,AU,-20.7377,116.8463,84.87,59,76,5.03,broken clouds
96,San Quintin,MX,30.4833,-115.95,75.22,24,4,10.45,clear sky
97,Verkhnyaya Toyma,RU,62.2349,44.9985,-3.21,100,98,4.12,overcast clouds
98,Christchurch,NZ,-43.5333,172.6333,61.03,84,100,11.5,overcast clouds
99,Chokurdakh,RU,70.6333,147.9167,-6.77,93,100,9.31,overcast clouds
100,Cockburn Town,TC,21.4612,-71.1419,80.56,69,40,13.8,scattered clouds
101,Castro,BR,-24.7911,-50.0119,70.88,81,14,11.12,few clouds
102,Gus-Zheleznyy,RU,55.0581,41.1656,22.24,95,99,6.87,light snow
103,Ornskoldsvik,SE,63.2909,18.7153,32.95,100,59,5.75,broken clouds
104,Inverell,AU,-29.7833,151.1167,65.1,71,0,3.0,clear sky
105,Caravelas,BR,-17.7125,-39.2481,76.68,84,77,6.78,broken clouds
106,Ancud,CL,-41.8697,-73.8203,78.22,75,13,4.68,few clouds
107,Sitka,US,57.0531,-135.33,42.69,75,100,4.61,light rain
108,Umm Lajj,SA,25.0213,37.2685,67.05,35,0,14.07,clear sky
109,Mount Isa,AU,-20.7333,139.5,73.17,94,24,1.14,few clouds
110,Lebu,CL,-37.6167,-73.65,63.73,77,72,8.59,broken clouds
111,Qaanaaq,GL,77.484,-69.3632,-6.95,83,99,4.52,overcast clouds
112,Alice Springs,AU,-23.7,133.8833,62.15,72,0,4.61,clear sky
113,Rohtak,IN,28.9,76.5667,55.49,68,0,4.94,clear sky
114,Macenta,GN,8.5435,-9.471,72.3,31,11,2.57,few clouds
115,Dunedin,NZ,-45.8742,170.5036,57.56,67,3,3.11,clear sky
116,Turbat,PK,26.0023,63.044,67.32,50,5,5.08,clear sky
117,Kristiansund,NO,63.1115,7.732,35.65,93,75,12.66,broken clouds
118,Meadow Lake,US,34.8014,-106.5436,57.97,15,0,4.59,clear sky
119,Agadez,NE,19.75,10.25,62.46,14,2,5.01,clear sky
120,Georgetown,MY,5.4112,100.3354,79.9,91,40,5.01,scattered clouds
121,Vardo,NO,70.3705,31.1107,21.4,93,100,24.61,light snow
122,Atuona,PF,-9.8,-139.0333,77.97,78,22,12.91,light rain
123,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,89,6,10.51,clear sky
124,Chipinge,ZW,-20.1883,32.6236,61.68,62,4,2.89,clear sky
125,Bredasdorp,ZA,-34.5322,20.0403,67.32,73,96,12.66,overcast clouds
126,Linhares,BR,-19.3911,-40.0722,75.4,88,33,6.29,scattered clouds
127,Sarh,TD,9.1429,18.3923,81.9,14,100,4.14,overcast clouds
128,Beringovskiy,RU,63.05,179.3167,-24.93,96,16,7.09,few clouds
129,Yashkul,RU,46.1711,45.3435,32.14,56,0,7.27,clear sky
130,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.52,90,98,2.13,overcast clouds
131,Grindavik,IS,63.8424,-22.4338,28.35,86,0,6.91,clear sky
132,Qui Nhon,VN,13.7667,109.2333,74.52,90,96,8.86,overcast clouds
133,Hornepayne,CA,49.2138,-84.7705,2.48,76,100,3.49,overcast clouds
134,Bluff,NZ,-46.6,168.3333,57.79,71,18,2.98,few clouds
135,Fortuna,US,40.5982,-124.1573,72.43,62,92,4.38,overcast clouds
136,Strezhevoy,RU,60.7333,77.5889,-5.03,95,97,9.31,overcast clouds
137,Kavaratti,IN,10.5669,72.642,80.2,72,40,4.0,scattered clouds
138,Manggar,ID,-2.8833,108.2667,77.05,86,95,1.28,overcast clouds
139,Shimoda,JP,34.6667,138.95,36.1,90,100,20.09,overcast clouds
140,Sorland,NO,67.667,12.6934,32.07,55,100,23.17,overcast clouds
141,Ilulissat,GL,69.2167,-51.1,26.62,50,100,17.27,overcast clouds
142,Lavrentiya,RU,65.5833,-171.0,-20.25,93,30,2.73,scattered clouds
143,Pisco,PE,-13.7,-76.2167,77.05,61,0,17.27,clear sky
144,Victoria,HK,22.2855,114.1577,61.95,87,100,11.01,overcast clouds
145,Katsuura,JP,35.1333,140.3,38.1,96,100,27.45,moderate rain
146,Araouane,ML,18.9048,-3.5265,63.77,18,73,11.36,broken clouds
147,Otofuke,JP,42.9917,143.2003,7.48,94,67,2.91,broken clouds
148,Yinchuan,CN,38.4681,106.2731,19.8,55,89,6.62,overcast clouds
149,Rawson,AR,-43.3002,-65.1023,85.33,22,0,23.44,clear sky
150,Komsomolskiy,UZ,40.4272,71.7189,38.12,87,75,6.91,mist
