City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Lompoc,US,2022-02-12 23:52:46,34.6391,-120.4579,86.14,20,0,10.36
59,Mineiros,BR,2022-02-12 23:52:46,-17.5694,-52.5511,70.2,91,66,4.0
60,Neyyattinkara,IN,2022-02-12 23:52:46,8.4,77.0833,78.66,86,92,4.68
61,Honiara,SB,2022-02-12 23:50:31,-9.4333,159.95,85.48,68,78,2.86
62,Henties Bay,NA,2022-02-12 23:52:47,-22.116,14.2845,70.86,79,96,5.17
63,Vaini,TO,2022-02-12 23:52:47,-21.2,-175.2,86.16,79,20,11.5
64,Avarua,CK,2022-02-12 23:50:15,-21.2078,-159.775,82.45,65,100,4.61
65,Port Elizabeth,ZA,2022-02-12 23:52:47,-33.918,25.5701,70.09,94,75,21.85
66,College,US,2022-02-12 23:52:48,64.8569,-147.8028,-0.42,71,75,0.0
67,El Alto,PE,2022-02-12 23:52:48,-4.2714,-81.2147,72.21,73,81,7.67
68,Saint-Philippe,RE,2022-02-12 23:52:48,-21.3585,55.7679,78.35,83,23,10.02
69,Kasongo-Lunda,CD,2022-02-12 23:52:48,-6.4667,16.8167,69.26,97,95,1.12
70,Sao Joao Da Barra,BR,2022-02-12 23:52:49,-21.6403,-41.0511,74.71,87,97,2.66
71,Sorland,NO,2022-02-12 23:52:49,67.667,12.6934,33.04,86,100,12.46
72,Provideniya,RU,2022-02-12 23:52:49,64.3833,-173.3,-5.03,86,12,4.03
73,Mar Del Plata,AR,2022-02-12 23:52:50,-38.0023,-57.5575,64.09,74,40,11.5
74,Chuy,UY,2022-02-12 23:52:50,-33.6971,-53.4616,67.75,95,94,8.55
75,Sungaipenuh,ID,2022-02-12 23:52:50,-2.0833,101.3833,63.7,86,100,3.18
76,Albany,US,2022-02-12 23:52:50,42.6001,-73.9662,35.47,66,53,1.99
77,Sayansk,RU,2022-02-12 23:52:51,54.1088,102.1648,-31.67,100,30,2.44
78,Smithers,CA,2022-02-12 23:52:51,54.7804,-127.1743,37.72,65,75,4.61
79,Roald,NO,2022-02-12 23:52:51,62.5833,6.1333,41.14,87,100,9.22
80,Richards Bay,ZA,2022-02-12 23:48:09,-28.783,32.0377,71.76,89,0,9.64
81,Patterson,US,2022-02-12 23:52:52,37.4716,-121.1297,83.41,46,32,4.16
82,Willowmore,ZA,2022-02-12 23:52:52,-33.2926,23.4895,73.96,46,92,6.04
83,Sola,VU,2022-02-12 23:52:52,-13.8833,167.55,78.55,82,100,13.67
84,Dikson,RU,2022-02-12 23:52:53,73.5069,80.5464,-4.04,87,100,25.97
85,Barzas,RU,2022-02-12 23:52:53,55.7167,86.3167,-5.57,98,7,3.06
